Title,Rating,Price,Avalability,expensive,purchased,quantity_purchased,Gender,added_to_cart
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89,In stock,Not Expensive,1,2,Male,5
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77,In stock,Not Expensive,1,3,Male,5
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59,In stock,Not Expensive,1,4,Female,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13,In stock,Expensive,0,0,Female,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06,In stock,Expensive,0,0,Male,5
The Death of Humanity: and the Case for Life,4,58.11,In stock,Expensive,0,0,Female,5
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05,In stock,Expensive,0,0,Female,4
The Art Forger,3,40.76,In stock,Expensive,0,0,Female,1
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,19.73,In stock,Not Expensive,0,0,Female,5
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24,In stock,Not Expensive,1,2,Male,3
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83,In stock,Expensive,0,0,Male,5
Soul Reader,2,39.58,In stock,Expensive,0,0,Male,5
Security,2,39.25,In stock,Expensive,0,0,Female,4
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02,In stock,Not Expensive,1,1,Male,5
"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,In stock,Expensive,0,0,Male,5
Reskilling America: Learning to Labor in the Twenty-First Century,2,19.83,In stock,Not Expensive,0,0,Female,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,In stock,Expensive,0,0,Female,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,In stock,Not Expensive,1,1,Male,1
Princess Between Worlds (Wide-Awake Princess #5),5,13.34,In stock,Not Expensive,1,2,Male,0
"Pop Gun War, Volume 1: Gift",1,18.97,In stock,Not Expensive,0,0,Male,5
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,36.28,In stock,Expensive,0,0,Male,5
Patience,3,10.16,In stock,Not Expensive,1,1,Male,4
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44,In stock,Not Expensive,1,1,Female,3
orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,In stock,Expensive,0,0,Female,5
Online Marketing for Busy Authors: A Step-By-Step Guide,1,46.35,In stock,Expensive,0,0,Female,2
On a Midnight Clear,3,14.07,In stock,Not Expensive,1,5,Male,5
Obsidian (Lux #1),2,14.86,In stock,Not Expensive,0,0,Male,5
My Paris Kitchen: Recipes and Stories,2,33.37,In stock,Not Expensive,0,0,Female,3
Masks and Shadows,2,56.4,In stock,Expensive,0,0,Female,5
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,14.02,In stock,Not Expensive,1,2,Female,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,46.91,In stock,Expensive,0,0,Female,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,45.61,In stock,Expensive,0,0,Female,5
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,19.92,In stock,Not Expensive,0,0,Male,1
"Layered: Baking, Building, and Styling Spectacular Cakes",1,40.11,In stock,Expensive,0,0,Female,5
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,53.9,In stock,Expensive,0,0,Male,5
Join,5,35.67,In stock,Expensive,1,2,Male,2
In the Country We Love: My Family Divided,4,22.0,In stock,Not Expensive,1,1,Male,3
